x	y
0.018872870249017036	0
0.03774574049803407	0
0.05347313237221493	0
0.07549148099606814	0.0068846815834767644
0.08964613368283092	0.0068846815834767644
0.10537352555701178	0.0068846815834767644
0.127391874180865	0.0068846815834767644
0.1509829619921363	0.013769363166953529
0.17457404980340757	0.027538726333907058
0.19187418086500654	0.034423407917383825
0.218610747051114	0.04819277108433735
0.2406290956749672	0.06884681583476765
0.2642201834862385	0.0963855421686747
0.27994757536041937	0.13080895008605853
0.3003931847968545	0.17900172117039587
0.31454783748361725	0.22030981067125646
0.32712975098296193	0.26161790017211706
0.33813892529488854	0.32358003442340794
0.34914809960681514	0.3717728055077453
0.3585845347313237	0.43373493975903615
0.37116644823066836	0.49569707401032703
0.37745740498034075	0.5507745266781412
0.3884665792922673	0.6196213425129088
0.39633027522935776	0.6815834767641997
0.4041939711664482	0.7504302925989673
0.41205766710353864	0.8261617900172117
0.4214941022280471	0.9018932874354562
0.4325032765399737	0.963855421686747
0.44193971166448226	10.189.328.743.545.600
0.4513761467889908	10.740.103.270.223.700
0.4623853211009174	11.359.724.612.736.600
0.4718217562254259	12.048.192.771.084.300
0.4812581913499344	12.667.814.113.597.200
0.4938401048492791	13.218.588.640.275.300
0.5048492791612057	13.975.903.614.457.800
0.5142857142857142	1.466.437.177.280.550
0.5252948885976408	15.352.839.931.153.100
0.5347313237221494	1.611.015.490.533.560
0.5441677588466579	16.798.623.063.683.300
0.5536041939711664	17.418.244.406.196.200
0.5614678899082568	18.037.865.748.709.100
0.5724770642201834	187.263.339.070.568
0.5803407601572739	1.927.710.843.373.490
0.5882044560943643	19.965.576.592.082.600
0.5960681520314547	20.585.197.934.595.500
0.6055045871559632	21.204.819.277.108.400
0.6149410222804718	21.962.134.251.290.800
0.6228047182175622	22.650.602.409.638.500
0.6322411533420708	2.333.907.056.798.620
0.6432503276539974	24.302.925.989.672.900
0.6511140235910877	2.492.254.733.218.580
0.6589777195281782	25.473.321.858.864.000
0.6652686762778505	2.609.294.320.137.690
0.6731323722149409	26.781.411.359.724.600
0.6809960681520314	2.740.103.270.223.750
0.6872870249017037	28.089.500.860.585.100
0.6951507208387941	2.870.912.220.309.810
0.7030144167758846	2.946.643.717.728.050
0.7108781127129751	30.223.752.151.462.900
0.7187418086500654	3.077.452.667.814.110
0.7266055045871559	31.394.148.020.654.000
0.7313237221494101	3.208.261.617.900.170
0.7423328964613367	32.771.084.337.349.300
0.7486238532110091	33.459.552.495.697.000
0.7564875491480996	3.428.571.428.571.420
0.7627785058977719	34.974.182.444.061.900
0.7706422018348623	3.566.265.060.240.960
0.7785058977719528	3.621.342.512.908.770
0.7847968545216251	3.690.189.328.743.540
0.7926605504587155	37.590.361.445.783.100
0.7989515072083878	3.820.998.278.829.600
0.8036697247706421	3.882.960.413.080.890
0.8115334207077326	3.951.807.228.915.660
