R,M,M_A,M_B
17.83200099999881,0.18338032252978625,0.1787623254450395,0.00461799708474657
16.03200099999661,0.2147628234361741,0.2087298695567812,0.006032953879392699
14.792000999997242,0.2526570249252862,0.2447446609266598,0.007912363998626186
13.891000999997742,0.302292560124015,0.2916730128319443,0.010619547292070689
13.288000999998076,0.3669291505057454,0.3527004795733207,0.014228670932424652
12.933000999998272,0.4492030827419825,0.43028154622564474,0.01892153651633773
12.769000999998363,0.551508013052699,0.5265436402959247,0.024964372756773802
12.745000999998377,0.6759923707337328,0.6433312278968681,0.0326611428368651
12.825000999998332,0.8264688833641586,0.7839568125834456,0.042512070780711654
12.984000999998244,1.0053787388737823,0.9505636718205397,0.05481506705324433
13.195000999998127,1.2121655085301373,1.1424222045800856,0.06974330395005103
13.434000999997995,1.4441205761077551,1.356774422062568,0.08734615404518803
13.67700099999786,1.6959215485987844,1.588380529895501,0.10754101870328246
13.906000999997733,1.959797541492253,1.8298280360849106,0.12996950540734092
14.09200099999763,2.2171299728427845,2.063981804790054,0.15314816805274029
14.20100099999757,2.446564730651045,2.271047519668925,0.17551721098212195
14.232000999997553,2.6456935662202485,2.4486442154641903,0.19704935075606134
14.196000999997572,2.8138015999649646,2.5964578941746703,0.21734370579029916
14.103000999997624,2.9512597777481613,2.7152234338469663,0.23603634390120032
13.9650009999977,3.0596840386435398,2.806987408716637,0.2526966299268916
