R,M,M_A,M_B
16.655000999997373,0.1673244280745034,0.16554133194244078,0.0017830961320626395
14.498000999997405,0.20372367075642933,0.20125553858569567,0.0024681321707336595
13.188000999998131,0.25241850521884884,0.24902201098876128,0.0033964942300868423
12.421000999998556,0.31554717471006166,0.31090318083450547,0.004643993875556339
12.004000999998787,0.39545649150441464,0.38914811671355265,0.006308374790861692
11.816000999998892,0.4943981537775655,0.48590068142690207,0.008497472350663695
11.780000999998911,0.6144344455329211,0.603088323266346,0.011346122266575071
11.841000999998878,0.7570218384087734,0.7420349113946184,0.014986927014154649
11.96300099999881,0.9222462677915829,0.9026949740949801,0.0195512936966019
12.114000999998726,1.108962577948569,1.0838028784914528,0.025159699457113233
12.27100099999864,1.3137501896781232,1.2818773604697142,0.03187282920840931
12.417000999998558,1.5314805509377694,1.4917887404674124,0.039691810470356505
12.537000999998492,1.7549797901308157,1.7064637912943892,0.04851599883642879
12.619000999998446,1.9760535418858847,1.9178985430276467,0.05815499885824005
12.654000999998427,2.1805612832956833,2.112615625160461,0.06794565813522395
12.627000999998442,2.3562574723571874,2.2788526398543874,0.07740483250279509
12.543000999998489,2.5014221589481647,2.4149480632844833,0.0864740956636797
12.412000999998561,2.61629804266341,2.5213258439554562,0.09497219870795257
12.245000999998654,2.701648027531691,2.599029084947855,0.10261894258384706
12.047000999998764,2.7568387915366,2.6477429870212976,0.10909580451530237
