R,M,M_A,M_B
16.738000999997475,0.20785350573535835,0.2041721464439918,0.0036813592913661976
15.397000999996907,0.24345741393089101,0.2394889872479823,0.003968426682908888
14.45400099999743,0.2863433350183918,0.2820137594641654,0.004329575554226629
13.771000999997808,0.3430537984661412,0.3382431672949089,0.004810631171231439
13.33500099999805,0.4164415587564496,0.4109911900577035,0.0054503686987471085
13.107000999998176,0.50877282170765,0.502505635217661,0.006267186489991399
13.038000999998214,0.6222669228928989,0.6149986522402484,0.00726827065265003
13.087000999998187,0.7588908984348186,0.7504381038231391,0.008452794611677684
13.224000999998111,0.9227019856675038,0.9128538866444306,0.009848099023075575
13.430000999997997,1.1158286540467042,1.1043765466298692,0.011452107416834808
13.679000999997859,1.3370545111688525,1.3238245720781698,0.013229939090681809
13.94800099999771,1.583027692859522,1.5678882953230373,0.015139397536487029
14.21700099999756,1.8478844763693358,1.830760092327784,0.017124384041549902
14.467000999997422,2.1234133335247276,2.1042986670017467,0.019114666522987867
14.67000099999731,2.3898379148115527,2.369024154380068,0.020813760431484318
14.792000999997242,2.6248318014523875,2.6027746042897344,0.022057197162651733
14.836000999997218,2.8269409797789584,2.803893431763269,0.023047548015688386
14.811000999997232,2.996120871153182,2.972278338478736,0.023842532674446186
14.728000999997278,3.133186871942184,3.108751070692826,0.02443580124935845
14.59800099999735,3.2400174859643047,3.215196285645861,0.02482120031844505
