r,m,p_A,p_B,m_A,m_B
1e-06,0.0,0.0005975,0.0,0.0,0.0
0.001001,3.962362773496267e-12,0.0005974999858238563,0.0,3.962362773496267e-12,0.0
0.002001,3.1651424704553326e-11,0.0005974999466247113,0.0,3.1651424704553326e-11,0.0
0.003001,1.0677017985638142e-10,0.0005974998814130335,0.0,1.0677017985638142e-10,0.0
0.004001,2.53021618092357e-10,0.0005974997901455629,0.0,2.53021618092357e-10,0.0
0.005001,4.941087229788276e-10,0.0005974996728148284,0.0,4.941087229788276e-10,0.0
0.006001,8.537344696868686e-10,0.0005974995294187298,0.0,8.537344696868686e-10,0.0
0.007001,1.355601822894004e-09,0.0005974993599565026,0.0,1.355601822894004e-09,0.0
0.008001000000000001,2.023413734685925e-09,0.000597499164427823,0.0,2.023413734685925e-09,0.0
0.009001000000000002,2.8808731424582084e-09,0.0005974989428325426,0.0,2.8808731424582084e-09,0.0
0.010001000000000003,3.951682966818042e-09,0.0005974986951705935,0.0,3.951682966818042e-09,0.0
0.011001000000000004,5.259546109485951e-09,0.0005974984214419485,0.0,5.259546109485951e-09,0.0
0.012001000000000005,6.828165451197529e-09,0.0005974981216466037,0.0,6.828165451197529e-09,0.0
0.013001000000000006,8.681243849605178e-09,0.0005974977957845694,0.0,8.681243849605178e-09,0.0
0.014001000000000006,1.084248413717985e-08,0.0005974974438558656,0.0,1.084248413717985e-08,0.0
0.015001000000000007,1.33355891191128e-08,0.0005974970658605191,0.0,1.33355891191128e-08,0.0
0.01600100000000001,1.6184261571217336e-08,0.0005974966617985622,0.0,1.6184261571217336e-08,0.0
0.01700100000000001,1.9412204237830593e-08,0.000597496231670032,0.0,1.9412204237830593e-08,0.0
0.01800100000000001,2.3043119829715297e-08,0.000597495775474969,0.0,2.3043119829715297e-08,0.0
0.01900100000000001,2.7100711021961555e-08,0.0005974952932134176,0.0,2.7100711021961555e-08,0.0
0.020001000000000012,3.1608680451888636e-08,0.0005974947848854254,0.0,3.1608680451888636e-08,0.0
0.021001000000000013,3.659073071694678e-08,0.0005974942504910431,0.0,3.659073071694678e-08,0.0
