R,M,M_A,M_B
17.040000999997844,0.1577086339105137,0.15261803360922058,0.005090600301293149
14.604000999997346,0.19189128477493544,0.18485367085639276,0.007037613918542681
13.142000999998157,0.23792603475619517,0.2282517543179064,0.00967428043828845
12.285000999998632,0.2979729950898326,0.2847612953861869,0.013211699703645316
11.810000999998895,0.37441482966348116,0.356508581177359,0.017906248486121937
11.58400099999902,0.469552939390844,0.44550135406899566,0.024051585321849044
11.520000999999056,0.5855596800477325,0.5535750202778575,0.03198465976987487
11.560000999999033,0.7240317366275375,0.6820092977970358,0.04202243883050193
11.664000999998976,0.8852349369317197,0.8307777421331057,0.05445719479861425
11.8010009999989,1.068231546522938,0.9987603800582133,0.06947116646472831
11.947000999998819,1.269794091728988,1.1827354426285328,0.08705864910045659
12.083000999998744,1.4849439262062454,1.3778849060285607,0.10705902017768378
12.194000999998682,1.7066326574112014,1.5776957794112718,0.1289368779999303
12.27100099999864,1.9267425256164838,1.7747548602799028,0.15198766533658403
12.300000999998623,2.1312602066049124,1.956347290143686,0.1749129164612225
12.27000099999864,2.3084669258284047,2.111922129186071,0.19654479664233993
12.186000999998686,2.4568828476166904,2.2405733890078605,0.21630945860882858
12.057000999998758,2.576772046716518,2.3430177539354795,0.23375429278105112
11.896000999998847,2.6689066412065015,2.4201861162642593,0.24872052494224509
11.708000999998951,2.733058918122774,2.471578582041082,0.26148033608170407
