R,M,M_A,M_B
17.52000099999843,0.1524792835702906,0.14783203303832956,0.004647250531961116
15.521000999996838,0.17011775009845487,0.1643933517207782,0.005724398377676817
14.12700099999761,0.18656784065438203,0.1795366678302957,0.00703117282408604
13.039000999998214,0.2019398517585262,0.19331019527214816,0.008629656486378047
11.9820009999988,0.22109750721347807,0.2101006141080261,0.010996893105451886
10.932000999999381,0.25407807449621966,0.23932982514937068,0.01474824934684664
10.115000999999834,0.3054282866173759,0.2853589252896205,0.020069361327754914
9.591001000000125,0.37836410113677604,0.3511101555376938,0.027253945599082563
9.317001000000277,0.4755533551080111,0.43891022795305734,0.0366431271549534
9.228001000000326,0.5988054064201588,0.5502660657554801,0.04853934066467813
9.264001000000306,0.7488291460794555,0.6856509400171468,0.06317820606231005
9.376001000000244,0.9242275485136348,0.8436849850202575,0.08054256349337437
9.52800100000016,1.1213335039904984,1.0209288692356022,0.10040463475489737
9.693001000000068,1.333642474389027,1.21152232332856,0.12212015106046756
9.83300099999999,1.5419508558079984,1.397472585778558,0.14447827002943783
9.913000999999946,1.7285492467626788,1.5620841369948832,0.16646510976779544
9.936000999999933,1.892201658903887,1.7041317660535504,0.18806989285034076
10.163000999999808,2.032566597088136,1.8226107904687823,0.20995580661936164
10.522000999999609,2.150711897848406,1.91771131820826,0.23300057964015441
10.887000999999406,2.2487239842530364,1.9906247157651036,0.2580992684879248
