R,M,M_A,M_B
17.43900099999833,0.19517289434188503,0.19355873219558958,0.0016141621462955123
15.857000999996652,0.2286536297124609,0.22654749980974487,0.0021061299027160716
14.757000999997262,0.26884787577594227,0.26607133147342876,0.002776544302513921
13.957000999997705,0.3213977798747775,0.3176530572120794,0.0037447226626978396
13.426000999998,0.3897946283378763,0.3847660762898781,0.005028552047997845
13.125000999998166,0.4765460355566674,0.4698444104389262,0.006701625117741429
13.002000999998234,0.58395360548759,0.5750843306677876,0.008869274819801922
13.01000099999823,0.7140791727894944,0.7024246710342933,0.011654501755201125
13.115000999998172,0.8706605015139812,0.8553657680896795,0.015294733424301264
13.296000999998071,1.0562743376456794,1.0364029920392728,0.01987134560640485
13.526000999997944,1.2702539839153535,1.2447715453388881,0.02548243857646702
13.781000999997802,1.509574971685531,1.477348101561539,0.03222687012399138
14.03800099999766,1.7686565238287835,1.7285344597977317,0.04012206403105069
14.279000999997526,2.039464002499004,1.9903622095303724,0.049101792968632256
14.478000999997416,2.303199717364411,2.2448953587263123,0.058304358638097305
14.59700099999735,2.5375178634807103,2.4702999283130733,0.0672179351676348
14.638000999997328,2.739519102946777,2.663239994730625,0.07627910821614933
14.609000999997344,2.9086642233456765,2.8233513728864574,0.08531285045922517
14.521000999997392,3.0456187250938713,2.951556622251081,0.09406210284279114
14.385000999997468,3.152208146951513,3.049902937992134,0.10230520895937965
