r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,3e-06,4.5e-08,0.0,0.0,15.724000999996726
0.001001,8.432708733594475e-13,2.999999838094985e-06,4.49999979801848e-08,8.329118613682266e-13,1.0359011991220858e-14,15.724000999996726
0.002001,6.7360626322681745e-12,2.9999994440083888e-06,4.4999993063832397e-08,6.6533146606661724e-12,8.27479716020029e-14,15.724000999996726
0.003001,2.2722849930739157e-11,2.9999987902308657e-06,4.499998490775497e-08,2.2443715088385503e-11,2.7913484235365017e-13,15.724000999996726
0.004001,5.384810390033077e-11,2.9999978755597593e-06,4.499997349694865e-08,5.3186616344912587e-11,6.614875554181827e-13,15.724000999996726
0.005001,1.0515629039368913e-10,2.9999966997873617e-06,4.499995882882171e-08,1.0386451640020163e-10,1.2917739934874852e-12,15.724000999996726
0.006001,1.8169186822565227e-10,2.999995262855272e-06,4.4999940902644935e-08,1.7945990625103218e-10,2.231961974620047e-12,15.724000999996726
0.007001,2.884992874142707e-10,2.9999935647422177e-06,4.499991971815214e-08,2.8495526817818375e-10,3.544019236086915e-12,15.724000999996726
0.008001000000000001,4.3062298742182133e-10,2.9999916054391764e-06,4.4999895275229846e-08,4.2533307400360374e-10,5.289913418217557e-12,15.724000999996726
0.009001000000000002,6.131073953958251e-10,2.9999893849420007e-06,4.4999867573825216e-08,6.055757833475794e-10,7.531612048245731e-12,15.724000999996726
0.010001000000000003,8.409969244100723e-10,2.99998690324877e-06,4.499983661391307e-08,8.306658418859169e-10,1.0331082524155386e-11,15.724000999996726
0.011001000000000004,1.1193359717056568e-09,2.9999841603587005e-06,4.499980239548226e-08,1.10558567960713e-09,1.37502920985266e-11,15.724000999996726
0.012001000000000005,1.453168916932021e-09,2.9999811562716493e-06,4.499976491852948e-08,1.4353177090696393e-09,1.7851207862381578e-11,15.724000999996726
0.013001000000000006,1.8475401203880132e-09,2.9999778909878667e-06,4.49997241830562e-08,1.8248443236589822e-09,2.2695796729030695e-11,15.724000999996726
0.014001000000000006,2.3074939212629567e-09,2.999974364507866e-06,4.4999680189067015e-08,2.279147895845038e-09,2.8346025417918617e-11,15.724000999996726
0.015001000000000007,2.8380746358777346e-09,2.9999705768323505e-06,4.499963293656875e-08,2.803210775439264e-09,3.4863860438470466e-11,15.724000999996726
0.01600100000000001,3.444326555925889e-09,2.999966527962172e-06,4.499958242556995e-08,3.402015287851951e-09,4.23112680739381e-11,15.724000999996726
0.01700100000000001,4.131293946714739e-09,2.9999622178983044e-06,4.499952865608052e-08,4.080543732349492e-09,5.07502143652464e-11,15.724000999996726
0.01800100000000001,4.904021045406513e-09,2.9999576466418273e-06,4.4999471628111544e-08,4.843778380311673e-09,6.024266509483976e-11,15.724000999996726
0.01900100000000001,5.767552059259503e-09,2.9999528141939157e-06,4.499941134167516e-08,5.696701473488974e-09,7.085058577052851e-11,15.724000999996726
0.020001000000000012,6.72693116386924e-09,2.999947720555833e-06,4.499934779678445e-08,6.644295222259905e-09,8.263594160933562e-11,15.724000999996726
0.021001000000000013,7.787202501409685e-09,2.9999423657289258e-06,4.499928099345342e-08,7.691541803888343e-09,9.566069752134333e-11,15.724000999996726
0.022001000000000014,8.953410178874453e-09,2.999936749714622e-06,4.4999210931696913e-08,8.843423360780915e-09,1.0998681809354e-10,15.724000999996726
0.023001000000000014,1.023059826631805e-08,2.999930872514427e-06,4.499913761153061e-08,1.0104921998744385e-08,1.2567626757366707e-10,15.724000999996726
0.024001000000000015,1.162381079509714e-08,2.9999247341299226e-06,4.4999061032971e-08,1.1481019785243075e-08,1.427910098540661e-10,15.724000999996726
0.025001000000000016,1.3138091756111841e-08,2.9999183345627667e-06,4.499898119603536e-08,1.2976698747656316e-08,1.6139300845552588e-10,15.724000999996726
0.026001000000000017,1.4778485098047042e-08,2.99991167381469e-06,4.499889810074177e-08,1.4596940871535914e-08,1.815442265111299e-10,15.724000999996726
0.027001000000000018,1.655003472561376e-08,2.999904751887498e-06,4.4998811747109054e-08,1.6346728098863657e-08,2.0330662675010358e-10,15.724000999996726
0.02800100000000002,1.8457784497790506e-08,2.999897568783069e-06,4.4998722135156834e-08,1.8231042326308845e-08,2.2674217148166208e-10,15.724000999996726
