alpha,lambda (0.0001)
0.0,0.0
0.1,0.04677452578561017
0.2,0.09768417487522765
0.30000000000000004,0.1483576601922453
0.4,0.19774577417773487
0.5,0.24496940101187145
0.6000000000000001,0.28959569741010666
0.7000000000000001,0.33143937505155213
0.8,0.3705002141421963
0.9,0.4069182612418392
1.0,0.44082702573074434
1.1,0.4723843955008006
1.2000000000000002,0.5016651978788741
1.3,0.5289293519827343
1.4000000000000001,0.5542863170405076
1.5,0.577712510102517
