R,M,M_A,M_B
16.54700099999724,0.2028322108633513,0.19349587415196665,0.00933633671138525
15.224000999997003,0.23705020319676895,0.22670888928110916,0.01034131391565915
14.29100099999752,0.278186472472585,0.2666509128273525,0.0115355596452344
13.613000999997896,0.3323843796879792,0.31929416296606994,0.01309021672191065
13.176000999998138,0.40233958211521914,0.38726076950026334,0.015078812614954555
12.942000999998267,0.49022401829896606,0.47269641922976025,0.017527599069205212
12.86600099999831,0.5982009819555948,0.5777578979421106,0.020443084013487097
12.907000999998287,0.7282477233926569,0.7044296636643071,0.023818059728347888
13.037000999998215,0.8842952381510382,0.8565607642905096,0.027734473860528627
13.235000999998105,1.0686627941323508,1.03648263282522,0.03218016130713195
13.47900099999797,1.280637556733586,1.2435812269480302,0.03705632978555798
13.747000999997821,1.5175087847043105,1.4752633066472942,0.04224547805701246
14.016000999997672,1.774157150311549,1.726556569524333,0.047600580787218044
14.271000999997531,2.0431105580300652,1.9901684525357037,0.052942105494355865
14.484000999997413,2.306248138367977,2.248786332106283,0.05746180626169678
14.622000999997336,2.5416991670433644,2.4809109275717587,0.060788239471606886
14.682000999997303,2.746492711012594,2.6829748516785066,0.06351785933408917
14.674000999997308,2.919731520659722,2.8539744181147784,0.065757102544938
14.607000999997345,3.0616915644136755,2.994226467794599,0.06746509661907427
14.492000999997408,3.173843666582744,3.1052210561598472,0.06862261042290119
