R,M
17.03000099999783,0.20366444128454253
16.020000999996597,0.22584466072403545
15.233000999996998,0.2505096872193761
14.59900099999735,0.2786475457981726
14.076000999997639,0.31289787746375947
13.672000999997863,0.3535714127841275
13.374000999998028,0.4017192278200092
13.17100099999814,0.4575284501732493
13.04700099999821,0.5219142960231485
12.989000999998241,0.5950399785159641
12.985000999998244,0.677719994138283
13.022000999998223,0.7699842607095214
13.095000999998183,0.874242075853932
13.199000999998125,0.9901613703240689
13.327000999998054,1.118103384824085
13.470000999997975,1.2567382774351123
13.62200099999789,1.4055849661259159
13.776000999997805,1.5624455109573754
13.928000999997721,1.7260557069957823
14.071000999997642,1.893438466762924
14.20200099999757,2.062593079065003
14.30800099999751,2.223899795806587
14.374000999997474,2.3684632451819794
14.401000999997459,2.496236162279351
14.390000999997465,2.6076097173025454
14.34500099999749,2.7030275685090746
14.270000999997531,2.782987330422721
14.167000999997589,2.848080913543759
14.041000999997658,2.8991302378807435
13.89500099999774,2.9370058198493925
