R,M,M_A,M_B
17.07900099999789,0.20096705058255193,0.19895738007672611,0.002009670505825397
15.623000999996782,0.23560340172715352,0.23324736770988216,0.002356034017271432
14.607000999997345,0.2772926834013914,0.27451975656737776,0.002772926834013824
13.871000999997753,0.33226794463678044,0.3289452651904129,0.0033226794463677633
13.394000999998017,0.40332718200642403,0.3992939101863601,0.004033271820064159
13.134000999998161,0.49276460535385974,0.487836959300321,0.004927646053538567
13.042000999998212,0.6028420098416412,0.5968135897432245,0.006028420098416391
13.072000999998195,0.7355898411575735,0.7282339427459982,0.0073558984115757245
13.196000999998127,0.8950085516304516,0.8860584661141471,0.00895008551630454
13.391000999998019,1.083417309591783,1.072583136495865,0.010834173095917783
13.633000999997885,1.3000195731145252,1.2870193773833807,0.01300019573114527
13.898000999997738,1.5419085127145433,1.5264894275873993,0.01541908512714531
14.166000999997589,1.8036734414303257,1.7856367070160226,0.01803673441430333
14.41700099999745,2.077493509420139,2.0567185743258336,0.020774935094306494
14.626000999997334,2.3444339086205574,2.3209895695343383,0.023444339086219568
14.757000999997262,2.5823559311243915,2.556532371813146,0.025823559311244783
14.811000999997232,2.788506140807034,2.760621079398953,0.027885061408081002
14.79600099999724,2.962232780026559,2.9326104522262773,0.02962232780028425
14.720000999997282,3.103948770766579,3.0729092830589035,0.031039487707675548
14.59700099999735,3.2152193451437014,3.1830671516922555,0.0321521934514453
