R,M
15.778000999996696,0.35723161736744424
15.420000999996894,0.37188159230826595
15.06500099999709,0.38674029905486995
14.714000999997285,0.40176128642312736
14.367000999997478,0.4168920554737451
14.023000999997668,0.43207420463563445
13.683000999997857,0.447243542896073
13.347000999998043,0.4623339667548621
13.014000999998228,0.4772767978838077
12.68500099999841,0.49199297464453673
12.35900099999859,0.506398602614478
12.03600099999877,0.5204059237589905
11.718000999998946,0.5339244688369016
11.40300099999912,0.5468677490949357
11.091000999999293,0.559145989693722
10.784000999999463,0.5706666283536586
10.481000999999631,0.5813386189359716
10.182000999999797,0.5910741078913477
9.88700099999996,0.5997930743673864
9.597001000000121,0.6074232647874456
9.31200100000028,0.6138957966685935
9.032001000000434,0.6191505048088238
8.757001000000587,0.6231376419722602
8.487001000000737,0.6258213402450511
8.224001000000882,0.6271784506242722
7.966001000000995,0.6271965883296934
7.715001000000911,0.6258767661821585
7.47100100000083,0.6232339374452631
7.23300100000075,0.6192977763748064
7.0030010000006735,0.614110783418957
