r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,5.8717832122989255e-05,9.099871432734276e-06,0.0,0.0,9.197001000000343
0.001001,2.3525588912907034e-12,5.871783060446176e-05,9.0998711960951e-06,2.0351935091302216e-12,3.173653821604819e-13,9.197001000000343
0.002001,1.8792282586439214e-11,5.8717826739959146e-05,9.099870593871766e-06,1.625716225580294e-11,2.535120330636272e-12,9.197001000000343
0.003001,6.339226193439514e-11,5.871782032235879e-05,9.09986959378742e-06,5.484050631345235e-11,8.551755620942804e-12,9.197001000000343
0.004001,1.5022558605338663e-10,5.871781134260462e-05,9.099868194430867e-06,1.299598246257437e-10,2.026576142764296e-11,9.197001000000343
0.005001,2.93365341467457e-10,5.8717799799131275e-05,9.099866395558235e-06,2.537897144429274e-10,3.9575627024529624e-11,9.197001000000343
0.006001,5.068846112420814e-10,5.8717785691497106e-05,9.099864197100793e-06,4.3850477075759263e-10,6.837984048448876e-11,9.197001000000343
0.007001,8.048564741197503e-10,5.87177690195396e-05,9.099861599033324e-06,6.962795857403993e-10,1.0857688837935109e-10,9.197001000000343
0.008001000000000001,1.2013540036555498e-09,5.8717749783188024e-05,9.099858601344935e-06,1.0392887481758077e-09,1.6206525547974224e-10,9.197001000000343
0.009001000000000002,1.710450267352739e-09,5.871772798240794e-05,9.099855204030407e-06,1.4797068428978065e-09,2.3074342445493257e-10,9.197001000000343
0.010001000000000003,2.34621832579833e-09,5.871770361718122e-05,9.09985140708709e-06,2.0297084502256424e-09,3.1650987557268727e-10,9.197001000000343
0.011001000000000004,3.122731231798666e-09,5.871767668749791e-05,9.099847210513618e-06,2.7014681453995494e-09,4.212630863991164e-10,9.197001000000343
0.012001000000000005,4.054062029515005e-09,5.871764719335242e-05,9.099842614309327e-06,3.5071604980164787e-09,5.469015314985253e-10,9.197001000000343
0.013001000000000006,5.154283753599095e-09,5.871761513474168e-05,9.099837618473975e-06,4.458960071465828e-09,6.953236821332654e-10,9.197001000000343
0.014001000000000006,6.437469428328761e-09,5.8717580511664204e-05,9.099832223007574e-06,5.5690414223651755e-09,8.68428005963585e-10,9.197001000000343
0.015001000000000007,7.91769206674349e-09,5.8717543324119494e-05,9.099826427910318e-06,6.849579099996007e-09,1.068112966747481e-09,9.197001000000343
0.01600100000000001,9.609024669780005e-09,5.871750357210773e-05,9.099820233182523e-06,8.312747645739454e-09,1.2962770240405502e-09,9.197001000000343
0.01700100000000001,1.1525540225407864e-08,5.8717461255629605e-05,9.099813638824605e-06,9.970721592512021e-09,1.5548186328958416e-09,9.197001000000343
0.01800100000000001,1.3681311707765036e-08,5.871741637468615e-05,9.099806644837055e-06,1.1835675464201327e-08,1.8456362435637088e-09,9.197001000000343
0.01900100000000001,1.6090412076293498e-08,5.87173689292787e-05,9.09979925122043e-06,1.3919783775101833e-08,2.170628301191664e-09,9.197001000000343
0.020001000000000012,1.8766914274874812e-08,5.871731891940884e-05,9.099791457975345e-06,1.6235221029350582e-08,2.5316932455242297e-09,9.197001000000343
0.021001000000000013,2.1724891230965734e-08,5.871726634507833e-05,9.099783265102463e-06,1.879416172036294e-08,2.9307295106027946e-09,9.197001000000343
0.022001000000000014,2.497841585473379e-08,5.871721120628912e-05,9.099774672602498e-06,2.1608780330268325e-08,3.3696355244654674e-09,9.197001000000343
0.023001000000000014,2.8541561038192885e-08,5.871715350304332e-05,9.099765680476205e-06,2.4691251329345954e-08,3.850309708846932e-09,9.197001000000343
0.024001000000000015,3.2428399654338883e-08,5.871709323534318e-05,9.099756288724385e-06,2.8053749175460582e-08,4.374650478878302e-09,9.197001000000343
0.025001000000000016,3.665300455628523e-08,5.871703040319109e-05,9.09974649734788e-06,3.170844831349825e-08,4.944556242786981e-09,9.197001000000343
0.026001000000000017,4.122944857639852e-08,5.871696500658957e-05,9.099736306347569e-06,3.5667523174802006e-08,5.5619254015965155e-09,9.197001000000343
0.027001000000000018,4.6171804525434127e-08,5.871689704554127e-05,9.099725715724374e-06,3.9943148176607676e-08,6.228656348826455e-09,9.197001000000343
0.02800100000000002,5.149414519167181e-08,5.8716826520048954e-05,9.099714725479254e-06,4.454749772147961e-08,6.946647470192211e-09,9.197001000000343
0.02900100000000002,5.72105433400513e-08,5.871675343011551e-05,9.099703335613207e-06,4.94927461967464e-08,7.717797143304913e-09,9.197001000000343
0.03000100000000002,6.333507171130793e-08,5.8716677775743934e-05,9.09969154612727e-06,5.479106797393666e-08,8.544003737371274e-09,9.197001000000343
0.03100100000000002,6.988180302110821e-08,5.871659955693735e-05,9.099679357022515e-06,6.045463740821477e-08,9.427165612893445e-09,9.197001000000343
0.03200100000000002,7.68648099591855e-08,5.871651877369899e-05,9.099666768300055e-06,6.649562883781662e-08,1.0369181121368883e-08,9.197001000000343
0.03300100000000002,8.429816518847559e-08,5.871643542603219e-05,9.099653779961038e-06,7.292621658348539e-08,1.1371948604990208e-08,9.197001000000343
0.034001000000000024,9.219594134425229e-08,5.8716349513940405e-05,9.09964039200665e-06,7.975857494790724e-08,1.2437366396345073e-08,9.197001000000343
0.035001000000000025,1.0057221103326315e-07,5.87162610374272e-05,9.099626604438113e-06,8.700487821514715e-08,1.3567332818116023e-08,9.197001000000343
0.036001000000000026,1.0944104683286497e-07,5.8716169996496255e-05,9.09961241725669e-06,9.467730065008463e-08,1.476374618278036e-08,9.197001000000343
0.03700100000000003,1.1881652129015952e-07,5.8716076391151344e-05,9.099597830463677e-06,1.0278801649784953e-07,1.6028504792310018e-08,9.197001000000343
0.03800100000000003,1.287127069211291e-07,5.8715980221396364e-05,9.099582844060408e-06,1.1134919998325772e-07,1.7363506937871418e-08,9.197001000000343
0.03900100000000003,1.3914367620977224e-07,5.871588148723532e-05,9.099567458048255e-06,1.2037302531024694e-07,1.8770650899525343e-08,9.197001000000343
0.04000100000000003,1.5012350160723931e-07,5.871578018867231e-05,9.099551672428624e-06,1.2987166666131252e-07,2.025183494592681e-08,9.197001000000343
0.04100100000000003,1.6166625553096812e-07,5.871567632571156e-05,9.099535487202962e-06,1.398572981969432e-07,2.180895733402494e-08,9.197001000000343
0.04200100000000003,1.7378601036381963e-07,5.8715569898357404e-05,9.09951890237275e-06,1.5034209405505683e-07,2.3443916308762823e-08,9.197001000000343
0.04300100000000003,1.8649683845321358e-07,5.871546090661426e-05,9.099501917939504e-06,1.613382283504362e-07,2.5158610102777398e-08,9.197001000000343
0.04400100000000003,1.9981281211026413e-07,5.8715349350486686e-05,9.099484533904782e-06,1.7285787517416482e-07,2.6954936936099327e-08,9.197001000000343
0.045001000000000034,2.137480036089155e-07,5.871523522997932e-05,9.099466750270174e-06,1.8491320859306263e-07,2.8834795015852864e-08,9.197001000000343
0.046001000000000035,2.2831648518507766e-07,5.871511854509692e-05,9.099448567037309e-06,1.975164026491219e-07,3.080008253595574e-08,9.197001000000343
0.047001000000000036,2.43532329035762e-07,5.8714999295844356e-05,9.099429984207852e-06,2.1067963135894293e-07,3.285269767681904e-08,9.197001000000343
0.04800100000000004,2.5940960731821696e-07,5.8714877482226604e-05,9.099411001783506e-06,2.2441506871316987e-07,3.4994538605047064e-08,9.197001000000343
0.04900100000000004,2.7596239214906376e-07,5.8714753104248736e-05,9.099391619766008e-06,2.3873488867592643e-07,3.722750347313725e-08,9.197001000000343
0.05000100000000004,2.9320475560343193e-07,5.8714626161915945e-05,9.099371838157133e-06,2.536512651842519e-07,3.9553490419180003e-08,9.197001000000343
0.05100100000000004,3.1115076971409527e-07,5.871449665523352e-05,9.099351656958695e-06,2.6917637214753657e-07,4.197439756655862e-08,9.197001000000343
0.05200100000000004,3.298145064706072e-07,5.8714364584206873e-05,9.09933107617254e-06,2.85322383446958e-07,4.4492123023649155e-08,9.197001000000343
0.05300100000000004,3.492100378184367e-07,5.8714229948841504e-05,9.099310095800555e-06,3.0210147293491635e-07,4.710856488352031e-08,9.197001000000343
0.05400100000000004,3.693514356581039e-07,5.8714092749143036e-05,9.09928871584466e-06,3.1952581443447053e-07,4.982562122363332e-08,9.197001000000343
0.05500100000000004,3.902527718443158e-07,5.871395298511719e-05,9.099266936306816e-06,3.3760758173877385e-07,5.2645190105541854e-08,9.197001000000343
0.056001000000000044,4.119281181851019e-07,5.871381065676979e-05,9.099244757189016e-06,3.563589486105099e-07,5.5569169574591884e-08,9.197001000000343
0.057001000000000045,4.3439154644095e-07,5.8713665764106786e-05,9.099222178493292e-06,3.757920887813283e-07,5.85994576596216e-08,9.197001000000343
0.058001000000000046,4.57657128323942e-07,5.8713518307134217e-05,9.099199200221714e-06,3.9591917595128056e-07,6.173795237266128e-08,9.197001000000343
0.059001000000000046,4.817389354968892e-07,5.8713368285858236e-05,9.099175822376385e-06,4.167523837882559e-07,6.498655170863323e-08,9.197001000000343
0.06000100000000005,5.066510395724687e-07,5.8713215700285106e-05,9.099152044959446e-06,4.38303885927417e-07,6.83471536450516e-08,9.197001000000343
0.06100100000000005,5.324075121123585e-07,5.871306055042119e-05,9.099127867973077e-06,4.6058585597063604e-07,7.182165614172239e-08,9.197001000000343
0.06200100000000005,5.590224246263735e-07,5.871290283627296e-05,9.099103291419492e-06,4.836104674859302e-07,7.541195714044327e-08,9.197001000000343
0.06300100000000004,5.865098485716014e-07,5.871274255784701e-05,9.099078315300944e-06,5.073898940068978e-07,7.911995456470349e-08,9.197001000000343
0.06400100000000004,6.14883855351538e-07,5.871257971515001e-05,9.09905293961972e-06,5.31936309032154e-07,8.294754631938383e-08,9.197001000000343
0.06500100000000004,6.441585163152233e-07,5.871241430818877e-05,9.099027164378144e-06,5.572618860247667e-07,8.689663029045647e-08,9.197001000000343
0.06600100000000005,6.743479027563772e-07,5.871224633697019e-05,9.099000989578577e-06,5.833787984116922e-07,9.096910434468491e-08,9.197001000000343
0.06700100000000005,7.054660859125352e-07,5.871207580150127e-05,9.098974415223419e-06,6.102992195832113e-07,9.516686632932385e-08,9.197001000000343
0.06800100000000005,7.375271369641844e-07,5.871190270178913e-05,9.098947441315103e-06,6.380353228923651e-07,9.949181407181916e-08,9.197001000000343
0.06900100000000005,7.705451270338986e-07,5.8711727037841e-05,9.0989200678561e-06,6.665992816543907e-07,1.0394584537950774e-07,9.197001000000343
0.07000100000000005,8.045341271854748e-07,5.8711548809664205e-05,9.09889229484892e-06,6.960032691461572e-07,1.0853085803931746e-07,9.197001000000343
0.07100100000000005,8.395082084230689e-07,5.8711368017266185e-05,9.098864122296104e-06,7.262594586056017e-07,1.1324874981746709e-07,9.197001000000343
0.07200100000000005,8.754814416903309e-07,5.871118466065448e-05,9.098835550200236e-06,7.573800232311646e-07,1.1810141845916619e-07,9.197001000000343
0.07300100000000005,9.124678978695415e-07,5.871099873983674e-05,9.098806578563932e-06,7.893771361812264e-07,1.2309076168831502e-07,9.197001000000343
0.07400100000000005,9.504816477807472e-07,5.8710810254820736e-05,9.098777207389846e-06,8.222629705735425e-07,1.2821867720720455e-07,9.197001000000343
0.07500100000000005,9.895367621808966e-07,5.8710619205614326e-05,9.09874743668067e-06,8.560496994846801e-07,1.334870626962163e-07,9.197001000000343
0.07600100000000005,1.0296473117629758e-06,5.871042559222548e-05,9.098717266439131e-06,8.907494959494534e-07,1.3889781581352223e-07,9.197001000000343
0.07700100000000006,1.0708273671551447e-06,5.871022941466229e-05,9.098686696667992e-06,9.263745329603597e-07,1.4445283419478484e-07,9.197001000000343
0.07800100000000006,1.1130909989198724e-06,5.871003067293293e-05,9.098655727370055e-06,9.629369834670154e-07,1.501540154528569e-07,9.197001000000343
0.07900100000000006,1.1564522775530734e-06,5.870982936704569e-05,9.098624358548157e-06,1.0004490203755917e-06,1.5600325717748157e-07,9.197001000000343
0.08000100000000006,1.200925273483243e-06,5.870962549700899e-05,9.098592590205173e-06,1.0389228165482508e-06,1.6200245693499217e-07,9.197001000000343
0.08100100000000006,1.2465240570705936e-06,5.870941906283132e-05,9.09856042234401e-06,1.0783705448025815e-06,1.6815351226801222e-07,9.197001000000343
0.08200100000000006,1.2932626986061903e-06,5.87092100645213e-05,9.098527854967618e-06,1.118804377911035e-06,1.7445832069515537e-07,9.197001000000343
0.08300100000000006,1.3411552683110867e-06,5.870899850208766e-05,9.09849488807898e-06,1.1602364886003614e-06,1.809187797107253e-07,9.197001000000343
0.08400100000000006,1.390215836335461e-06,5.870878437553922e-05,9.098461521681115e-06,1.2026790495510452e-06,1.8753678678441576e-07,9.197001000000343
0.08500100000000006,1.4404584727577516e-06,5.870856768488492e-05,9.098427755777082e-06,1.2461442333967412e-06,1.9431423936101036e-07,9.197001000000343
0.08600100000000006,1.4918972475837932e-06,5.87083484301338e-05,9.098393590369974e-06,1.2906442127237105e-06,2.012530348600827e-07,9.197001000000343
0.08700100000000006,1.5445462307459529e-06,5.870812661129501e-05,9.09835902546292e-06,1.3361911600702566e-06,2.083550706756962e-07,9.197001000000343
0.08800100000000007,1.5984194921022655e-06,5.8707902228377816e-05,9.098324061059088e-06,1.3827972479261613e-06,2.1562224417610414e-07,9.197001000000343
0.08900100000000007,1.6535311014355697e-06,5.8707675281391574e-05,9.09828869716168e-06,1.4304746487321203e-06,2.230564527034495e-07,9.197001000000343
0.09000100000000007,1.7098951284526445e-06,5.870744577034575e-05,9.098252933773937e-06,1.4792355348791794e-06,2.30659593573465e-07,9.197001000000343
0.09100100000000007,1.7675256427833442e-06,5.870721369524993e-05,9.098216770899135e-06,1.529092078708171e-06,2.384335640751731e-07,9.197001000000343
0.09200100000000007,1.826436713979735e-06,5.87069790561138e-05,9.098180208540586e-06,1.5800564525091487e-06,2.46380261470586e-07,9.197001000000343
