R,M
16.397000999997058,0.17165001351146475
15.346000999996935,0.18429634629469932
14.514000999997396,0.19625364196041586
13.82100099999778,0.20757417495249572
13.221000999998113,0.21831074702465753
12.680000999998413,0.22871509407535634
12.08900099999874,0.24273329933635887
11.483000999999076,0.2631435842961189
10.932000999999381,0.29124018355454107
10.476000999999634,0.3280465798717752
10.130000999999826,0.37439258963135114
9.891000999999958,0.43102133827872025
9.74400100000004,0.4985466115192652
9.67300100000008,0.57739837220269
9.663001000000085,0.6678335776544138
9.698001000000065,0.76979239101406
9.768001000000027,0.8827824146114228
9.860000999999976,1.005944068914464
9.966000999999917,1.1378849583916937
10.078000999999855,1.2766885215985944
10.190000999999793,1.4200791858730193
10.287000999999739,1.5586424400254584
10.3570009999997,1.6861253726292
10.399000999999677,1.8022518347801524
10.414000999999669,1.9068108025909483
10.405000999999674,1.9996979093815643
10.373000999999691,2.08096319335851
10.32200099999972,2.1508387578024433
10.255000999999757,2.209698500125314
10.174000999999802,2.258153472428282
