R,M,M_A,M_B
16.72700099999746,0.15614591994022345,0.14833862394321273,0.0078072959970109665
15.038000999997106,0.17335770341465145,0.1646898182439191,0.008667885170732532
13.834000999997773,0.1893634452871071,0.17989527302275213,0.00946817226435493
12.888000999998297,0.20429650162498617,0.19408167654373917,0.01021482508124724
11.970000999998806,0.22275927460507203,0.2116213108748202,0.011137963730252309
11.040000999999322,0.25387568361636803,0.24118189943554844,0.012693784180818417
10.289000999999738,0.30127039037190584,0.28620687085331065,0.015063519518595223
9.782001000000019,0.3675043980071556,0.3491291781067976,0.01837521990035779
9.497001000000177,0.45469740296599687,0.4319625328176969,0.02273487014829973
9.38400100000024,0.5643676213253069,0.5361492402590425,0.028218381066265306
9.392001000000235,0.6973423896221407,0.6624752701410352,0.03486711948110697
9.479001000000187,0.8530021485377189,0.8103520411108321,0.0426501074268857
9.613001000000112,1.029107469392058,0.9776520959224583,0.0514553734696028
9.768001000000027,1.2212470008119047,1.1601846507713056,0.061062350040598096
9.911000999999947,1.4134802224847884,1.3428062113605486,0.07067401112423925
10.008000999999894,1.5892223377711887,1.5097612208826323,0.0794611168885594
10.055000999999868,1.745946887255348,1.6586495428925827,0.08729734436276552
10.053000999999869,1.8813506955073944,1.787283160732025,0.09406753477536874
10.007000999999894,1.9942646954212464,1.8945514606501828,0.09971323477106243
9.92400099999994,2.084659714345811,1.9804267286285215,0.10423298571729098
