R,M,M_A,M_B
16.30000099999694,0.16451342838995764,0.15793289125435922,0.006580537135598303
14.247000999997544,0.2000043386998336,0.19200416515184004,0.008000173547993423
13.000000999998235,0.24673938879799703,0.23686981324607756,0.00986957555191983
12.263000999998644,0.30655005873008345,0.29428805638087935,0.012262002349203367
11.85500099999887,0.38148153583176153,0.3662222743984906,0.015259261433270398
11.665000999998975,0.4734919387226173,0.4545522611737121,0.018939677548905024
11.620000999999,0.5844544239618483,0.5610762470033739,0.023378176958473915
11.672000999998971,0.7157930729380134,0.6871613500204924,0.028631722917520572
11.78400099999891,0.867891137539284,0.8331754920377125,0.034715645501571676
11.931000999998828,1.0402519309877727,0.9986418537482615,0.041610077239510344
12.09000099999874,1.230554074691991,1.1813319117043124,0.04922216298767904
12.244000999998654,1.4350502620596517,1.3776482515772617,0.05740201048238659
12.380000999998579,1.648096897041705,1.5821730211600373,0.06592387588166883
12.48600099999852,1.8628291634222658,1.7883159968853752,0.07451316653689077
12.550000999998485,2.06663126637915,1.983966015724062,0.08266525065509077
12.561000999998479,2.24779317975694,2.1578814525666647,0.08991172719027739
12.519000999998502,2.4029936626934423,2.3068739161857055,0.09611974650773732
12.429000999998552,2.530697885088983,2.4294699696854254,0.10122791540355937
12.300000999998623,2.6303243719763767,2.5251113970973216,0.10521297487905508
12.139000999998713,2.7006788602842398,2.592651705872871,0.10802715441136855
