R,M
46.72400099998181,0.020446815688491
43.912000999988365,0.024581451380017945
41.26600099999453,0.029543762070711386
38.77400100000034,0.03549457088157592
36.42800100000581,0.04262276848439405
34.21800100001096,0.05115048444012389
32.134001000015814,0.06133600239624355
30.168001000013888,0.07347638358114554
28.31200100001162,0.08790830883875246
26.556001000009474,0.10500389883814454
24.894001000007442,0.12516413716454688
23.319001000005517,0.1488054530080004
21.821001000003687,0.17633104716470865
20.395001000001944,0.2080872546067105
19.03400100000028,0.24429874300080334
17.730000999998687,0.28497710909181284
16.477000999997156,0.3298068861488483
15.272000999996976,0.37802110818121487
14.10900099999762,0.42827102567493125
12.986000999998243,0.4785398014811134
11.902000999998844,0.5261504308684728
10.859000999999422,0.5679253690653463
9.861000999999975,0.6005337982567974
8.9140010000005,0.6210059458840059
8.027001000000991,0.6273134502188438
7.211001000000743,0.6188485929902124
6.475001000000497,0.5966330498830287
5.830001000000282,0.5631718867068811
5.2870010000001,0.5220056148333756
4.854000999999956,0.477130294086697
