R,M
15.971000999996589,0.1794812832782991
14.132000999997608,0.2197851398433535
13.023000999998223,0.2731802333609758
12.385000999998576,0.34186607762988774
12.055000999998759,0.42825767662224495
11.92700099999883,0.5345693598257473
11.933000999998827,0.6627969544063599
12.027000999998775,0.8141931705240771
12.171000999998695,0.9885059968859294
12.339000999998602,1.1842246176468254
12.510000999998507,1.3974486586974912
12.664000999998422,1.6226407856378617
12.790000999998352,1.852278729388869
12.878000999998303,2.0779965053671776
12.915000999998282,2.285125228704645
12.890000999998296,2.461529710426937
12.807000999998342,2.606272357538349
12.678000999998414,2.72006467903021
12.512000999998506,2.8039092945449595
12.316000999998614,2.8572294460093985
